Item_Id,Low_Cap_Price
IT_265079,3621.153234029345
IT_265087,2511.339701081613
IT_265107,3162.7274602678813
IT_265139,5795.87752420214
IT_265142,1724.9092033191332
IT_265144,1533.6603967271412
IT_265148,3495.744271006565
IT_265156,4299.01260577366
IT_265162,7249.689093720538
IT_265170,4790.796096139585
IT_265175,7249.17611257404
IT_265181,8413.7850126315
IT_265183,7056.174705700292
IT_265184,6377.003218676844
IT_265196,7032.805014314037
IT_265201,8590.579003826946
IT_265205,7764.214894027348
IT_265244,3289.340663229469
IT_265255,3375.706570684541
IT_265259,3200.0111132088377
IT_265264,3002.0173003607497
IT_265274,2414.727040946063
IT_265275,2162.1220071207053
IT_265294,826.2307384725626
IT_265315,7406.209353536138
IT_265317,3086.5151649580903
IT_265332,6642.471769261065
IT_265338,7032.648751690869
IT_265339,6755.031059309878
IT_265341,8104.461937312411
IT_265349,6799.115847678962
IT_265350,6767.323751437454
IT_265360,8249.346018349877
IT_265379,2606.947930198793
IT_265382,8135.793865692532
IT_265417,3101.588599023222
IT_265448,1724.0945659868705
IT_265455,3780.47396984465
IT_265482,7684.576834594908
IT_265490,6218.064163411702
IT_265495,8168.807220481425
IT_265499,6893.495521292391
IT_265500,6841.228573659799
IT_265504,8403.202742156289
IT_265507,6609.325051451859
IT_265533,6541.482279520211
IT_265566,3185.707202811362
IT_265568,2147.9674057672223
IT_265575,6928.221601820604
IT_265577,3593.6894717014843
IT_265581,6322.675708168727
IT_265611,8144.7636507558655
IT_265615,2744.216984416393
IT_265647,2898.7904013895677
IT_265697,6737.234781690231
IT_265701,2945.01214830233
IT_265702,2300.656974309756
IT_265703,1171.0593520161915
IT_265720,7147.576173692765
IT_265734,7849.595286755542
IT_265736,7268.575651610904
IT_265740,8417.508559661399
IT_265742,7036.131924821309
IT_265747,8070.322334582002
IT_265751,6852.879180951783
IT_265757,8294.8763131995
IT_265792,7178.292603521666
IT_265816,2702.1497235382108
IT_265819,1786.9898442862657
IT_265866,8731.222239400733
IT_265869,6851.027446575333
IT_265874,2196.2926992169905
IT_265880,3204.6722844180395
IT_265905,7866.143329766357
IT_265911,8273.484498843009
IT_265922,8932.070229193061
IT_265927,7799.581264137107
IT_265932,8571.24583012924
IT_265935,6423.930932866302
IT_265948,2659.9635081219226
IT_265966,6104.190459996208
IT_265976,2439.9288382692976
IT_265999,4116.79442974156
IT_266030,2464.069720003182
IT_266056,1353.539025322577
IT_266058,2879.892813965458
IT_266060,1136.4081221834078
IT_266069,2507.8854095146885
IT_266096,7206.197531523882
IT_266103,8123.170501258235
IT_266111,6660.637563020439
IT_266115,7904.389281873932
IT_266124,8707.774313413436
IT_266128,8436.399702970299
IT_266132,6669.438159037326
IT_266137,7403.569973564387
IT_266141,4121.075817135065
IT_266155,9683.34969435754
IT_266157,5590.021153749122
IT_266166,6447.035362337153
IT_266175,2471.9037302405613
IT_266188,2756.57989890875
IT_266255,487.128275202896
IT_266258,1669.6514959496542
IT_266264,3105.0246834439567
IT_266281,6572.436284392146
IT_266298,7949.712812237832
IT_266299,7083.77212708916
IT_266307,6060.74633155708
IT_266318,6724.070113292967
IT_266322,8179.509602134904
IT_266324,6024.0424612133365
IT_266334,7131.4659153407565
IT_266338,3990.4181009712897
IT_266354,7475.766053715979
IT_266366,3117.4176561719655
IT_266376,2273.8883225794043
IT_266402,2874.846024858629
IT_266413,2082.0657770599432
IT_266453,910.5427068943162
IT_266498,8240.076923658366
IT_266499,1394.2597103305495
IT_266506,6697.416126177444
IT_266514,8402.443844052348
